MSI|MS-17F5|GF75 Thin 10UE|Notebook|0.5|6.4|11.3|37.9|08/13/2021|
MSI|MS-17LL|Alpha 17 B5EEK|Notebook|1|1|10.8|33.8|09/02/2021|
Lenovo|Lenovo K14 Gen 1|21CS|Notebook|1.4|1.4|6|22.3|09/16/2021|
Apple|iPad Mini (6th gen)|A2568|Slate/Tablet|0.3|0.3|2|7.8|08/26/2021|
Apple|iPad Mini (6th gen)|A2567|Slate/Tablet|0.3|0.3|2|7.8|08/26/2021|
Apple|J181/J182|A2603|Slate/Tablet|0.1|0.2|3.1|9.8|09/13/2021|
DELL|D14U|OptiPlex 3090 Micro|Desktop|1.3|5.2|5.3|23.9|09/17/2021|
Apple|J181/J182|A2602|Slate/Tablet|0.1|0.2|3.1|9.8|09/13/2021|
VAIO|PC882*****|PC882|Notebook|1.4|-1|3.6|15.8|09/16/2021|
Advantech|AIM-75****************(Where "*" may be any alphanumeric character, "-" or blank)|AIM-75|Slate/Tablet|0.6|0.6|2.1|9|09/10/2021|
VAIO|PC888*****|PC888|Notebook|1.4|-1|6.9|24.7|09/14/2021|
Samsung|NP750TDA|NP750TDA|Notebook|0.5|2|4.7|16.6|09/13/2021|
ASUS|PN41-S1 Series|PN41-S1|Desktop|0.7|6.2|6.6|26|09/13/2021|
Acer|N21Q3|TMP614-52|Notebook|1.1|6|6.3|27.1|09/15/2021|
Lenovo|Legion T7 34IAZ7|90S1|Desktop|2.2|28.3|33.5|122.7|09/10/2021|
MSI|MS-15CK|Delta 15 A5EFK|Notebook|1.8|1.8|10.7|35.9|08/19/2021|
DELL|D15S|OptiPlex 3090 SFF|Desktop|1.4|5.4|5.8|26|09/10/2021|
ASUS|X415F Series|X415F|Notebook|0.4|2.1|3.8|13.4|09/08/2021|
dynabook|SATELLITE PRO C50-J|PYS43*|Notebook|1.5|2.9|5.5|22.5|09/06/2021|
Lenovo|Yoga Slim 7 Pro 16ACH6|Yoga Slim 7 Pro 16ACH6|Notebook|2.8|3|6.9|30.5|09/07/2021|
dynabook|SATELLITE PRO C40-J|PYS46*|Notebook|1.5|2.8|5.1|21.4|09/06/2021|
ASUS|CX3400FM Series|CX3400FM|Notebook|0.5|1.4|3.5|12.3|09/03/2021|
Fujitsu|MI7W|CELSIUS W5011 ESTAR|Desktop|2.1|19.9|22.4|85.1|09/01/2021|
Fujitsu|MI7W|ESPRIMO P9011 ESTAR|Desktop|2.1|14.2|19.2|71.4|09/01/2021|
DT Research|313MD|313MD|Slate/Tablet|1.4|5.3|7.2|-1|09/14/2021|
Lenovo|ThinkBook 15p G2 ITH|ThinkBook 15p G2 ITH|Notebook|0.6|4.1|6.8|24|08/31/2021|
SUNMI|Wireless data terminal|TF701|Slate/Tablet|-1|-1|-1|9.4|09/15/2021|
